# ----------------------------------------
# Queries: Organic Google Search query
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
# 
# All Users
# Start date: 20260719
# End date: 20260815
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
test website seo,0,1,0,50
test website seo free,0,1,0,75
test website seo online,0,1,0,68
test website seo score,0,10,0,66.1
text ocr,0,1,0,95
text recognition converter,0,1,0,97
text recognition online free,0,2,0,82
text to ocr,0,2,0,97.5
tool check seo website,0,1,0,86
umbraco seo audit,0,2,0,92.5
watermark eraser online,0,2,0,95.5
web audit free,0,1,0,78
web page seo analyzer,0,3,0,85.66666666666667
web page seo audit,0,9,0,72.55555555555556
web page seo checker,0,1,0,80
web page seo test,0,5,0,54.8
web seo analysis free,0,6,0,90.33333333333333
web seo analyzer,0,59,0,82.10169491525424
web seo audit,0,1,0,57
web seo check,0,3,0,73.66666666666667
web seo check online,0,3,0,81.66666666666667
web seo checker,0,12,0,78.5
web seo test,0,1,0,50
web seo tester,0,2,0,64.5
web site seo test,0,1,0,67
website analysis checker,0,1,0,82
website analysis free,0,1,0,86
website analysis free tool,0,3,0,86
website analysis seo tool,0,6,0,88.16666666666667
website analyzer seo,0,2,0,80
website audit check,0,3,0,75.66666666666667
website audit checker,0,55,0,74.94545454545455
website audit for free,0,7,0,82.14285714285714
website audit for seo,0,3,0,45.666666666666664
website audit free,0,44,0,82.29545454545455
website audit free online,0,8,0,76.125
website audit free tool,0,8,0,83.125
website audit free tools,0,4,0,87.75
website audit online,0,120,0,67.11666666666666
website audit online free,0,12,0,78.25
website audit online tool,0,74,0,84.54054054054055
website audit report free,0,1,0,81
website audit report online,0,37,0,73.32432432432432
website audit report online free,0,2,0,79
website audit report tool,0,1,0,89
website audit score,0,1,0,70
website audit seo free,0,2,0,84.5
website audit seo tool,0,6,0,91.16666666666667
website audit test,0,2,0,76.5
website audit tool,0,312,0,84.50961538461539
website audit tool for seo,0,2,0,93
website audit tool free,0,31,0,79.45161290322581
website audit tool online,0,174,0,82.52873563218391
website audit tool seo,0,2,0,84
website audit tools free,0,1,0,92
website audit tools online,0,34,0,84.23529411764706
website auditing checker,0,2,0,66.5
website auditing tool,0,5,0,80.2
website auditor free,0,5,0,84.4
website auditor online,0,8,0,75.5
website auditor tool online,0,2,0,90
website check seo,0,3,0,53
website checker for seo,0,15,0,73.86666666666666
website checker seo,0,13,0,68.38461538461539
website free audit,0,41,0,79.1219512195122
website free seo audit,0,2,0,83.5
website online audit,0,2,0,75.5
website scan seo,0,4,0,55.25
website seo analysis,0,15,0,81.46666666666667
website seo analysis free,0,11,0,85.81818181818181
website seo analysis free online,0,3,0,73.66666666666667
website seo analysis online,0,2,0,71
website seo analysis tool,0,11,0,82.36363636363636
website seo analysis tool free,0,3,0,93.66666666666667
website seo analysis tools,0,1,0,52
website seo analyze,0,2,0,59
website seo analyzer,0,60,0,87.05
website seo analyzer free,0,6,0,86.16666666666667
website seo analyzer online,0,2,0,89
website seo analyzer tool,0,5,0,88.2
website seo audit,0,619,0,75.78998384491115
website seo audit checker,0,9,0,75.88888888888889
website seo audit free,0,96,0,84.55208333333333
website seo audit online,0,94,0,79.92553191489361
website seo audit online free,0,15,0,75.6
website seo audit tool,0,182,0,87.64835164835165
website seo audit tools,0,3,0,83.66666666666667
website seo audit tools free,0,2,0,88
website seo auditor,0,2,0,80.5
website seo check,0,16,0,69.4375
website seo check online,0,3,0,73
website seo check tool,0,5,0,78
website seo checker,0,17,0,80.88235294117646
website seo checker free,0,14,0,65.5
website seo checker free audit & analysis,0,28,0,84.85714285714286
website seo checker free online,0,2,0,85.5
website seo checker online,0,17,0,73.70588235294117
website seo checker tool,0,16,0,74.8125
website seo checker tools,0,1,0,79
website seo checkup,0,3,0,82.66666666666667
website seo health check,0,1,0,85
website seo optimization checker,0,7,0,65.28571428571429
website seo report free,0,2,0,74.5
website seo report generator,0,4,0,86
website seo report online,0,3,0,68
website seo review tool,0,2,0,71
website seo scan,0,10,0,67.3
website seo scanner,0,25,0,61.92
website seo score analyzer,0,7,0,80.14285714285714
website seo score check,0,1,0,73
website seo score checker,0,7,0,75.28571428571429
website seo score test,0,1,0,81
website seo test,0,8,0,58.375
website seo test online,0,4,0,76.25
website seo tester,0,9,0,60.77777777777778
website test seo,0,3,0,47.333333333333336
what is seo audit tool,0,1,0,76
анализ сайта онлайн,0,3,0,72.66666666666667
аудит сайта онлайн,0,2,0,75.5
сео анализ сайта онлайн,0,1,0,82
сео аудит онлайн,0,1,0,87
